A,B,C,value,status
PH PERSONAL VIP FD 40 ROLOSX30M,CR DE LEITE PIRACANJUBA TP 200G,,0.00026175616670095787,2
PH PERSONAL VIP FD 40 ROLOSX30M,OLEO SOJA LIZA PET 900ML,,0.00023889536611572138,2
PH PERSONAL VIP FD 40 ROLOSX30M,ACUC REF UNIAO 1KG,,0.00030404864778364537,2
PH PERSONAL VIP FD 40 ROLOSX30M,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0005109388930800357,2
PH PERSONAL VIP FD 40 ROLOSX30M,SACOLA PLASTICA MM CINZA,,0.00023318016596941225,2
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,SACOLA PLASTICA MM BRANCA,,0.0006595340968840728,2
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0007121139382301169,2
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,ACUC REF UNIAO 1KG,,0.000248039686349816,2
OMO LAVA ROUPAS LAVAG PERFEITA 5LT,SACOLA PLASTICA MM CINZA,,0.00022517888576457947,2
BISC CH PETIT BEURRE GRIESSON 150G,SACOLA PLASTICA MM BRANCA,,0.0005943808152161489,2
BISC CH PETIT BEURRE GRIESSON 150G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00031662208810552544,2
BISC CH PETIT BEURRE GRIESSON 150G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00023318016596941225,2
LEITE FERMENTADO YAKULT 6X80G,SACOLA PLASTICA MM BRANCA,,0.0005589465743090323,2
LEITE FERMENTADO YAKULT 6X80G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00037606016962714035,2
LEITE FERMENTADO YAKULT 6X80G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002583270466131724,2
REQUEIJAO TRADIC CATUPIRY 500G,SACOLA PLASTICA MM BRANCA,,0.0005315136136067485,2
REQUEIJAO TRADIC CATUPIRY 500G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00041949569073908966,2
REQUEIJAO TRADIC CATUPIRY 500G,CR DE LEITE PIRACANJUBA TP 200G,,0.0002171776055597467,2
REQUEIJAO TRADIC CATUPIRY 500G,ACUC REF UNIAO 1KG,,0.0002263219257938413,2
REQUEIJAO TRADIC CATUPIRY 500G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00023889536611572138,2
ALCOOL LIQ BACT 70 INPM TOPFORM 1L,SACOLA PLASTICA MM BRANCA,,0.0004995084927874174,2
ALCOOL LIQ BACT 70 INPM TOPFORM 1L,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000561232654367556,2
ALCOOL LIQ BACT 70 INPM TOPFORM 1L,ACUC REF UNIAO 1KG,,0.00020917632535491393,2
ALCOOL LIQ BACT 70 INPM TOPFORM 1L,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.0002800448071691471,2
QJ MUSS INTERFOLHADA KG,SACOLA PLASTICA MM BRANCA,,0.0004617881718217772,2
QJ MUSS INTERFOLHADA KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022289280570605583,2
CENOURA KG,SACOLA PLASTICA MM BRANCA,,0.0004572160117047299,2
CENOURA KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00029490432754955076,2
