A,B,C,value,status
AZEITE RAHMA EXTRA VIRGEM 1LT,SACOLA PLASTICA MM BRANCA,,0.0002263219257938413,2
AZEITE RAHMA EXTRA VIRGEM 1LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023889536611572138,2
LENCO UMED MAMYPOKO T SUAVE 4X50UN,SACOLA PLASTICA MM BRANCA,,0.00022517888576457947,2
CREME DE LEITE TP ITALAC 200G,SACOLA PLASTICA MM BRANCA,,0.00022517888576457947,2
PAO DE FORMA 480G PULLMAN,SACOLA PLASTICA MM BRANCA,,0.00022517888576457947,2
FILE MIGN S CORDAO KG,SACOLA PLASTICA MM BRANCA,,0.00022517888576457947,2
VEJA LIMPEZA PESADA CLORO 2X1LT,SACOLA PLASTICA MM BRANCA,,0.00022289280570605583,2
VEJA LIMPEZA PESADA CLORO 2X1LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002914752074617653,2
PAO MEL SCHOKOL 500G MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.000221749765676794,2
PAPEL FILME MM 27.5CM X 120M,SACOLA PLASTICA MM BRANCA,,0.00021832064558900853,2
PAPEL FILME MM 27.5CM X 120M,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00030519168781290723,2
MINAS PADRAO LACFREE ZERO LACTOSE K,SACOLA PLASTICA MM BRANCA,,0.00021832064558900853,2
PAO DE QJO TRAD 1KG MEMBERS MARK,SACOLA PLASTICA MM BRANCA,,0.00021832064558900853,2
AGUA SANITARIA YPE AGUA SAN. 5LTS,SACOLA PLASTICA MM BRANCA,,0.0002171776055597467,2
FANDANGOS PRESUNTO 230GR,SACOLA PLASTICA MM BRANCA,,0.00021603456553048487,2
FILE DE PEITO FRANG MEMBERS MARK KG,SACOLA PLASTICA MM BRANCA,,0.00021374848547196123,2
MOLHO TOMATE TRAD. HEINZ 1.020 KG,SACOLA PLASTICA MM BRANCA,,0.0002126054454426994,2
TOMATE BOMBOM BDJ 500G,SACOLA PLASTICA MM BRANCA,,0.0002114624054134376,2
TODDY ORIGINAL 1.800KG,SACOLA PLASTICA MM BRANCA,,0.0002114624054134376,2
TOMATE PELADO CIRIO 3 X 400G,SACOLA PLASTICA MM BRANCA,,0.0002114624054134376,2
TOMATE PELADO CIRIO 3 X 400G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00030404864778364537,2
LIMAO PCT 1KG,SACOLA PLASTICA MM BRANCA,,0.00020917632535491393,2
PACK EXTRE/NRISCA PK MISTO C/10UNID,SACOLA PLASTICA MM BRANCA,,0.00020917632535491393,2
PACK EXTRE/NRISCA PK MISTO C/10UNID,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00032690944836888185,2
MELAO DOCE REDINHA KG,SACOLA PLASTICA MM BRANCA,,0.00020917632535491393,2
LINGUICA FININHA MISTA 240G,SACOLA PLASTICA MM BRANCA,,0.0002068902452963903,2
ABACAXI PEROLA UNIDADE,SACOLA PLASTICA MM BRANCA,,0.00020574720526712846,2
OLEO SOJA SOYA PET 900ML,SACOLA PLASTICA MM BRANCA,,0.00020460416523786662,2
TORRADA TRAD.M.PACK 284GR,SACOLA PLASTICA MM BRANCA,,0.00020460416523786662,2
SOBRECOXA SADIA 1KG ZIP IQF,SACOLA PLASTICA MM BRANCA,,0.00020460416523786662,2
BIS BRANCO 3X126GR,SACOLA PLASTICA MM BRANCA,,0.00020231808517934299,2
QJ PARMESAO F AZUL CILINDRO VIGOR 1,SACOLA PLASTICA MM BRANCA,,0.00020231808517934299,2
SABONETE DOVE ORIGINAL 8X90G,SACOLA PLASTICA MM BRANCA,,0.00020117504515008115,2
SABONETE DOVE ORIGINAL 8X90G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00020117504515008115,2
OLEO GIRASSOL SALADA PET 900ML,SACOLA PLASTICA MM BRANCA,,0.00020117504515008115,2
OLEO GIRASSOL SALADA PET 900ML,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00023889536611572138,2
TORRADA MULTIGRAO 284GR M.PACK,SACOLA PLASTICA MM BRANCA,,0.00020003200512081932,2
SACOLA PLASTICA MM CINZA,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00041835265070982785,2
SACOLA PLASTICA MM CINZA,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00023660928605719772,2
SAL REF CISNE 1KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0003234803282810964,2
SAL REF CISNE 1KG,OLEO SOJA LIZA PET 900ML,,0.00021603456553048487,2
SAL REF CISNE 1KG,ACUC REF UNIAO 1KG,,0.00029490432754955076,2
AGUA SANITARIA 5LT MEMBERS MARK,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002800448071691471,2
AGUA SANITARIA 5LT MEMBERS MARK,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00029261824749102715,2
GUARD MASCOT FD 200FLS,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002594700866424342,2
SACOLA PLASTICA MM VERDE,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002583270466131724,2
PATO GERMINEX MARINE 3X500ML,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00024118144617424502,2
VEJA LAVANDA 4LT LIMPADOR PERFUMADO,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002354662460279359,2
GUARD GRAN HOTEL COQUETEL FD 9X50FL,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022975104588162678,2
MANTEIGA TABLETE C/SAL 200G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022975104588162678,2
FILTRO DE PAPEL120UN MM TAM 102,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00022517888576457947,2
CREME DENTAL T0TAL 12 CLEAN 4X90G,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.000221749765676794,2
BRILHANTE LAVA ROUPAS BCO E COL 4KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00021832064558900853,2
KALIPTO 5LT DESINFETANTE 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00021832064558900853,2
VANISH 3 LT COLORS TIRA MANCHAS,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002171776055597467,2
LYSOFORM BRUTO DESINFETANTE 5LT,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.0002114624054134376,2
ACUC DEME ORGANICO NATIVE 1KG,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00020346112520860482,2
SAPOLIO RADIUM 2X450ML,PAPEL TOALHA KITCHEN JUMB FD C360FL,,0.00020117504515008115,2
MM MULTIUSO 1.1LT,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,,0.00021374848547196123,2
SACOLA PLASTICA MM BRANCA,PAPEL TOALHA KITCHEN JUMB FD C360FL,PH NEVE FT 20M L32P28UN,0.0002263219257938413,3
PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM BRANCA,PH NEVE FT 20M L32P28UN,0.0002263219257938413,3
PH NEVE FT 20M L32P28UN,SACOLA PLASTICA MM BRANCA,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.00022403584573531764,3
PH NEVE FT 20M L32P28UN,PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM BRANCA,0.0002491827263790778,3
PH PERSONAL VIP FD 40 ROLOSX30M,PAPEL TOALHA KITCHEN JUMB FD C360FL,SACOLA PLASTICA MM BRANCA,0.000221749765676794,3
